,Total,Early Morning,Morning Rush,Morning to Noon,Afternoon,Evening Rush,Night
Louvain Community Count,3.0,4.0,6.0,4.0,4.0,4.0,5.0
Infomap Community Count,8.0,9.0,11.0,10.0,10.0,7.0,7.0
Louvain Modularity,0.1577518166252936,0.11523365955990568,0.05504884606232209,0.06578939590205901,0.025744320301357992,0.15472978962910217,0.03358541672071442
Infomap Modularity,0.10984399610551243,0.15771283576880366,0.16878641355716606,0.1796191287578703,0.1323710279880771,0.12979359471013505,0.12167932166282516
